"Stock #","Vehicle Year","Vehicle Make","Vehicle Model","Vehicle VIN","Mileage","Cylinders","Vehicle Color","Vehicle Color 2","Retail Price","Market Value","Drive Train","Body Type","Engine","Transmission","Purchase Date","Vehicle Set to Upload","Added Costs","Sales/Internet Comments","Vehicle Type","Fuel Type","Wholesale Price","Days On Lot","Total Cost","Year","Make","Model","VIN","Mileage","Color","Color2","Retail Price","Body Type","Style","Weight","Condition","Transmission","Engine","Fuel Type","Cylinder","Features","Video URL"
"4095","2017","NISSAN","ROGUE","KNMAT2MV5HP520386",239966,4,"WHITE","GRAY",3300,0,"AWD",4DR,2.5L,C,02/27/24,Y,1759.94,"Video Test Drive URL (The Nitty Gritty): https://youtu.be/uD_mA2bG0Bc?si=g2ZJQRJ-tSa7bNV0Just the Basics:*Runs and drives well. *All-Wheel Drive (currently operating as Front-Wheel Drive due to a wheel speed sensor issue-Lit up like a Christmas Tree)*AC, Heat, Heated Seats*Recent Oil change, serpentine belt, wheel bearing, transfer case, rear differential and rear CV axle replacement*Tires at 30%-40% tread","Wagon","Gasoline","0","687","4599.94","17","NISSAN","ROGUE","KNMAT2MV5HP520386","239966","WHITE","GRAY","3300","4DR","SV","0","","C","2.5L","G","4","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Alarm; Daytime Running Lights; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; Sport Utility Cab; All Wheel ABS","https://youtu.be/uD_mA2bG0Bc",
"4099","2014","NISSAN","JUKE","JN8AF5MR4ET353862",172406,4,"BLACK","",3500,0,"FWD",4DR,1.6L,C,02/28/24,Y,2016.43,"Video Test Drive (The Nitty Gritty): https://youtu.be/twVJ-z0rMK4 Just the Basics: *Runs and Drives Well. *Tires are between 50% and 75%*Came from St Louis--Less Rust *Brand New Turbo! *Traction Control Light (Yaw Sensor). *Tire Pressure Light (Another Sensor)","SUV","Gasoline","0","686","4731.43","14","NISSAN","JUKE","JN8AF5MR4ET353862","172406","BLACK","","3500","4DR","S","0","","C","1.6L","G","4","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Alarm; Dual Air Bags Front Head and Sides; Active Belts; All Wheel ABS","https://youtu.be/twVJ-z0rMK4?si=oanG6H3CmbI3YFQX",
"4160","2020","CHRYSLER","PACIFICA","2C4RC3BG8LR278357",206000,6,"GRAY","GRAY",13500,0,"AWD",4DR,3.6L,A,05/25/24,Y,723.85,"","Van","Gasoline","0","599","8198.85","20","CHRYSLER","PACIFICA","2C4RC3BG8LR278357","206000","GRAY","GRAY","13500","4DR","TOURING L","0","","A","3.6L","G","6","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Sentry Key; Keyless Entry; Alarm; Daytime Running Lights; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS","https://youtu.be/ioeQF6_2XbU",
"4161","2015","BUICK","ENCORE","KL4CJASBXFB259648",107121,4,"BLUE","BLACK",3750,5999,"FWD",4DR,1.4L,A,05/31/24,N,512.53,"","SUV","Gasoline","4551","593","4652.53","15","BUICK","ENCORE","KL4CJASBXFB259648","107121","BLUE","BLACK","3750","4DR","FWD","0","","A","1.4L","G","4","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Sentry Key; Keyless Entry; Alarm; Daytime Running Lights; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS","https://youtu.be/DXqnpKq6D6M",
"4200","2018","H&H","SPEEDLOADER","5JWEX2223JN278238",1000,0,"","",9500,0,"",,,A,09/25/24,N,0,"","Mid-Size","Gasoline","0","476","4000","18","H&H","SPEEDLOADER","5JWEX2223JN278238","1000","","","9500","","CAR TRAILER","0","","A","","G","0","","",
"4208","2010","FORD","F150","1FTFW1EV7AFD09143",107835,8,"RED","GRAY",3750,13263,"4WD",4DR,5.4L,A,10/09/24,Y,83.24,"Video Test Drive (The Nitty Gritty): https://youtu.be/CyQg3OJstr4 Just The Basics: *Good Tires *Runs and Drives Well. *Good Suspension. Good Brakes. *Brand new tube and dipstick INSTALLED. Fresh oil change.*Power Steering A Little Tight-I'm assuming the rack or pump is getting worn.*AC Doesn't blow cold  *Odometer TMU (True Miles Unknown) according to auction (Likely 200K according to CarFax)","Pick-Up","Gasoline","10409","462","2828.24","10","FORD","F150","1FTFW1EV7AFD09143","107835","RED","GRAY","3750","4DR","SUPERCREW","0","","A","5.4L","G","8","Air Conditioning; Available; Power Steering; Tilt Wheel; AM/FM; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Available; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; Crew Cab; Regular Bed; All Wheel ABS; 1/2 Ton","https://youtu.be/CyQg3OJstr4?si=A4cOzKZXL-wkWm3-",
"4224","2008","VOLVO","S60","YV1RS592182700588",233858,5,"SILVER","BLACK",2300,4267,"FWD",4DR,2.5L,A,10/30/24,Y,232.91,"Video Test Drive (The Nitty Gritty): https://youtu.be/V8td3H6DwHs Just the Basics:*The timing was already done on this at 145k miles!*Drives well with good power and smooth acceleration.*Quiet suspension. Good Brakes. *Leather, Cold AC*Tires 50%-75%*Body in decent shape-Just a few ''dings'' (Cracked Windshield/Headlight covers, Driver's mirror broken)*Anti Skid Service Light is on (Traction Control), RR Window Inop, Sunroof, Inop","Sedan","Gasoline","1372","441","1547.91","08","VOLVO","S60","YV1RS592182700588","233858","SILVER","BLACK","2300","4DR","2.5T","0","","A","2.5L","G","5","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Alarm; Daytime Running Lights; Dual Airbags Front Head and Side; Active Seatbelts; Passenger Airbag Sensor; All Wheel ABS","https://youtu.be/V8td3H6DwHs",
"4227","2016","JEEP","COMPASS","1C4NJCBA0GD751810",190835,4,"BLACK","BLACK",3750,0,"FWD",4DR,2.0L,C,11/06/24,Y,70.5,"Video Test Drive (The Nitty Gritty): https://youtu.be/x1xEuhxHWCw Just The Basics: *Runs and Drives Smooth*Suspension Quiet. Brakes Good. *Pulls (a little) to the right-Needs A Wheel Bearing (Part Included) *Driver's Window Needs A Regulator","SUV","Gasoline","0","434","3115.5","16","JEEP","COMPASS","1C4NJCBA0GD751810","190835","BLACK","BLACK","3750","4DR","SPORT","0","","C","2.0L","G","4","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Available; Dual Airbags Front Head and Side; Active Seatbelts; Passenger Airbag Sensor; Dual Rear Side Airbag; All Wheel ABS","",
"4239","2014","CHEVROLET","CRUZE","1G1PG5SB0E7384097",145485,4,"SILVER","GRAY",3500,0,"FWD",4DR,1.4L,A,12/12/24,N,1055.5,"","Sedan","Gasoline","0","398","1730.5","14","CHEVROLET","CRUZE","1G1PG5SB0E7384097","145485","SILVER","GRAY","3500","4DR","LTZ","0","","A","1.4L","G","4","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Alarm; Daytime Running Lights; Dual Airbags Front Head and Side; Active Seatbelts; Passenger Airbag Sensor; Dual Rear Side Airbag; All Wheel ABS","https://youtu.be/dJNK6dULX0g",
"4248","2010","DOOLITLE","UTILITY","1DGDP1027AM088128",1000,0,"BLACK","BLACK",4500,0,"",DUMP,,A,01/10/25,N,0,"","Mid-Size","Gasoline","0","369","3200","10","DOOLITLE","UTILITY","1DGDP1027AM088128","1000","BLACK","BLACK","4500","DUMP","TRAILER","0","","A","","G","0","","",
"4249","2018","DODGE","CHARGER","2C3CDXCT9JH125046",195183,8,"BLACK","BLACK",7500,12217,"RWD",4DR,5.7L,A,01/14/25,Y,960.55,"Video Test Drive (The Nitty Gritty): https://youtu.be/wJuaFkvSVlU Just The Basics: *5.7L Hemi *Runs and Drives Great! *Cold AC, Heated Seats. *Smooth Suspension. Good Brakes. *Not a showroom perfect car--but it will get you where you need to go.","Sedan","Gasoline","9935","365","5825.55","18","DODGE","CHARGER","2C3CDXCT9JH125046","195183","BLACK","BLACK","7500","4DR","R/T","0","","A","5.7L","G","8","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Sentry Key; Keyless Entry; Alarm; Daytime Running Lights; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS","https://youtu.be/wJuaFkvSVlU",
"4252","2018","DODGE","CHARGER","2C3CDXGJ7JH230452",573,8,"RED","BLACK",23500,0,"RWD",4DR,6.4L,A,01/16/25,Y,5976.95,"","Sedan","Gasoline","0","363","15026.95","18","DODGE","CHARGER","2C3CDXGJ7JH230452","573","RED","BLACK","23500","4DR","R/T 392","0","","A","6.4L","G","8","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Sentry Key; Keyless Entry; Alarm; Daytime Running Lights; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS","",
"4258","2002","FORD","EXPLORER","1FMZU77E22UC81375",185391,6,"SILVER","GRAY",1900,5604,"4WD",4DR,4.0L,A,03/05/25,Y,425,"Video Test Drive URL (The Nitty Gritty): https://youtu.be/6q8uWp83gewJust the Basics:*Tires about 50%*New wheel bearing, fixed taillight, fresh oil change.*Good running truck. 4x4 works. *All side windows inop (pretty sure it's a wiring issue in the driver's door), Rear sliding window works*A couple cosmetic dings and tears*AC not blowing cold*This is the truck that I put my 16 year old son in until he decided to go with a fuel efficient car. Any of you with kids knows that a momma ain't gonna put her baby in a car that ain't gonna get him where he needs to go. It may not be the prettiest or the fanciest and it may still need a few things, but the bones are solid. *UPDATE* When it got cold, I parked it up on the hill in the snow and mud. When I pulled it down, it had a couple codes on it for the two front wheel speed sensors and the ABS pump. The brakes are soft and the 4x4 doesn't engage. I THINK something just got rattled around that I need to tinker with. Check with me on this.","Mid-Size","Gasoline","3462","315","1100","02","FORD","EXPLORER","1FMZU77E22UC81375","185391","SILVER","GRAY","1900","4DR","SPORT TRAC","0","","A","4.0L","G","6","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD; Pass Key Security; Dual Front Air Bag; Active Belts; Sport Utility Cab; All Wheel ABS","https://youtu.be/6q8uWp83gew",
"4273","2008","TOYOTA","CAMRY SOLARA","4T1FA38P68U156554",192093,6,"RED","TAN",2000,6039,"FWD",2DR,3.3L,A,04/23/25,Y,35,"Video Test Drive (The Nitty Gritty): https://youtu.be/-rM9WfMEngs Just the Basics: *Runs and drives good *Convertible top opens and closes the way it should and doesn't leak *Drives smooth-no suspension noise, good brakes *Tires: 40%-50% *Exhaust is a little louder.","Convertible","Gasoline","3029","266","1030","08","TOYOTA","CAMRY SOLARA","4T1FA38P68U156554","192093","RED","TAN","2000","2DR","SE","0","","A","3.3L","G","6","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Daytime Running Lights; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS","https://youtu.be/-rM9WfMEngs",
"4282","2011","CHEVROLET","SILVERADO 1500","3GCPKSE31BG317050",227795,8,"GRAY","",4500,0,"4WD",4DR,5.3L,A,04/30/25,Y,1454.14,"Virtual Test Drive URL (The Nitty Gritty): https://youtu.be/cFActwcPORs Just the Basics: *Nice looking, lifted Chevy with normal Chevy cosmetic stuff *Newer transmission-175K miles *Drives good. Accelerates well. Stops solid. *Tires-Matching @ Least 75% tread *Obvious rear end damage-Tailgate doesn't open *ABS/Trac Light Needs a little bit of ''button love''-climate control, windows 4x4 seems to work, but service 4x4 light is on *Louder exhaust, rusty underneath","Pick-Up","Gasoline","0","259","2869.14","11","CHEVROLET","SILVERADO 1500","3GCPKSE31BG317050","227795","GRAY","","4500","4DR","LT","0","","A","5.3L","G","8","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Active keyless entry; Daytime Running Lights; Dual Airbags Front Head and Side; Active Seatbelts; Passenger Airbag Sensor; Crew Cab; Short Bed; All Wheel ABS; 1/2 Ton","https://youtu.be/cFActwcPORs",
"4291","2020","CAN AM","MAVERICK","3JB1GAN45LK001064",1275,0,"BLACK","BLACK",8000,0,"",,,A,05/30/25,Y,527.92,"*Great running side by side. *Brand new front end. Replaced Suspension Parts. *Fresh Oil Change. *Will get a video test drive as soon as possible. *MUST MAKE AN APPOINTMENT to see as it may be at our house on any given day. This is currently my favorite ''toy''...serious buyers only. Firm on price. No trades.","Mid-Size","Gasoline","0","229","5927.92","20","CAN AM","MAVERICK","3JB1GAN45LK001064","1275","BLACK","BLACK","8000","","SIDE BY SIDE","0","","A","","G","0","","",
"4293","2009","TOYOTA","YARIS","JTDBT903894045093",270618,4,"GRAY","GRAY",2750,0,"FWD",4DR,1.5L,A,05/30/25,N,0,"","Sedan","Gasoline","0","229","1600","09","TOYOTA","YARIS","JTDBT903894045093","270618","GRAY","GRAY","2750","4DR","S","0","","A","1.5L","G","4","Air Conditioning; Available; Power Steering; Tilt Wheel; Satellite; AM/FM CD/MP3; Available; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS","",
"4305","2019","JEEP","GRAND CHEROKEE","1C4RJFLG8KC530010",146139,6,"BLACK","",9500,0,"4WD",4DR,3.6L,A,07/02/25,Y,167.99,"Video Test Drive URL (The Nitty Gritty): https://youtu.be/q99ReHI1JKc Just the Basics: *146K Miles (but this increases as we have routinely used this as a driver)*Kevlar Tires about 45%*Good looking body. Black leather interior in good condition. *Oil Change is current-has been maintained! *Runs, Drives, Starts, Stops and Steers the way it should. *The auction announced ''motor noise'' (listen to video), but I don't hear anything abnormal--just your typical 3.6 engine tick. *Starter and auxiliary battery Replaced (Auto Stop Light from video not on anymore) *Check Engine Light On: P0456 Evaporative Emission System-Small Leak Detected, P0158 O2 Sensor Circuit High Voltage (Bank 2, Sensor 2), P1E0A Closed Loop Fueling Not Achieved (Bank 2, Downstream)","SUV","Gasoline","0","196","8407.99","19","JEEP","GRAND CHEROKEE","1C4RJFLG8KC530010","146139","BLACK","","9500","4DR","TRAILHAWK","0","","A","3.6L","G","6","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Sentry Key; Keyless Entry; Alarm; Daytime Running Lights; Dual Airbags Front Head and Side; Active Seatbelts; Passenger Airbag Sensor; Dual Rear Side Airbag; All Wheel ABS","https://youtu.be/q99ReHI1JKc",
"4310","2013","BUICK","ENCORE","KL4CJFSB5DB105181",181028,4,"BLACK","BLACK",3000,0,"AWD",4DR,1.4L,A,07/24/25,Y,215,"Virtual Test Drive URL (The Nitty Gritty): https://youtu.be/Dxhl4pKS-TwJust the Basics:*AWD, fuel efficient SUV with backup cam *Drives well. Brakes good. *Tires 35%-45% all the way around*Auction said they heard some suspension noise, but I didn't hear anything. *AC blows cold, BUT blower motor is pretty loud","SUV","Gasoline","0","174","1940","13","BUICK","ENCORE","KL4CJFSB5DB105181","181028","BLACK","BLACK","3000","4DR","CONVENIENCE","0","","A","1.4L","G","4","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; AM/FM CD/DVD; Sentry Key; Keyless Entry; Alarm; Daytime Running Lights; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS","https://youtu.be/Dxhl4pKS-Tw",
"4321","2004","JEEP","LIBERTY","1J4GL58K84W175604",224566,6,"BLACK","TAN",1350,0,"4WD",4DR,3.7L,A,08/06/25,Y,35,"Virtual Test Drive URL ( The Nitty Gritty): https://youtu.be/RIUCFOA4Jt8**Seriously watch this for the BEST description that you NEED for this specific vehicle**Just the Basics: *NOT A PERFECT ''DRIVE ACROSS THE COUNTRY RIGHT NOW'' VEHICLE*Rusty rockers--All Liberty's this generation did it.*Tires about 45% all the way around. *No Check Engine Lights. *Drives good. Has good power. 4x4 Works. AC Works*Odometer MAY be inaccurate. Oil Light on Dash. Tire Pressure Light.*Brake Pads Need Replaced. *Cruise (Button) does not engage","SUV","Gasoline","0","161","710","04","JEEP","LIBERTY","1J4GL58K84W175604","224566","BLACK","TAN","1350","4DR","LIMITED","0","","A","3.7L","G","6","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD; Dual Front Air Bag; Active Belts; All Wheel ABS","https://youtu.be/RIUCFOA4Jt8",
"4323","2013","CHRYSLER","200","1C3CCBCG8DN504463",200257,6,"WHITE","BLACK",999,0,"FWD",4DR,3.6L,A,08/13/25,Y,0,"*The engine sounds very smooth, and has a decent body inside and out overall. The car is very quiet and smooth even when trying to drive it, I almost didn't notice an issue until I noticed the RPM gauge and that it wasn't upshifting like it should. *The car only had one gear in forward and reverse. In my experience this is most likely an electrical issue rather than a mechanical issue.  We believe this car to have a bad valve body. stuck in 1st gear. (Roughly $175 on ebay)*We will try to get it in for repair, but until then the price reflects the way it is.","Sedan","Gasoline","0","154","785","13","CHRYSLER","200","1C3CCBCG8DN504463","200257","WHITE","BLACK","999","4DR","LIMITED","0","","A","3.6L","G","6","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/DVD; Satellite; Sentry Key; Keyless Entry; Alarm; Available; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS; Retractable Roof Panel","",
"4329","2011","JEEP","WRANGLER UNLIMI","1J4BA3H17BL587586",193743,6,"BLACK","",7500,0,"4WD",4DR,3.8L,M,08/21/25,Y,85,"Video Test Drive URL (The Nitty Gritty): https://youtu.be/cf7VRuvmClkJust the Basics:*6 Spd Manual transmission *193k Miles*Tires about 40% all the way around. *No check engine lights, but gate open light is on*Aftermarket radio-no sound?*AC works. *Drives Good. *Cruise buttons don't seem to work","SUV","Gasoline","0","146","6505","11","JEEP","WRANGLER UNLIMI","1J4BA3H17BL587586","193743","BLACK","","7500","4DR","SPORT","0","","M","3.8L","G","6","Air Conditioning; Available; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; AM/FM CD/DVD; Passive sentry key; Dual Front Airbags; Passenger Sensor; Active Belts; All Wheel ABS; Retractable Roof Panel","https://youtu.be/cf7VRuvmClk",
"4331","2010","CHEVROLET","CAMARO","2G1FE1EV5A9170179",154250,6,"BLUE","",0,0,"RWD",2DR,3.6L,M,08/27/25,N,497.89,"If there is no description here, call/text Miriam 309-267-7200 or Matt 309-337-1049. We are likely working on getting it here as quickly as possible.","Coupe","Gasoline","0","140","3312.89","10","CHEVROLET","CAMARO","2G1FE1EV5A9170179","154250","BLUE","","0","2DR","LS","0","","M","3.6L","G","6","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Sentry Key; Keyless Entry; Daytime Running Lights; Dual Airbags Front Head and Side; Active Seatbelts; Passenger Airbag Sensor; All Wheel ABS","https://youtu.be/e9c14nA6vEk",
